"Id","Expected"
"row_1",0.0
"row_2",0.0
"row_3",0.0
"row_4",0.0
"row_5",0.0
"row_6",0.0
"row_7",0.0
"row_8",0.0
"row_9",0.0
"row_10",0.0
"row_11",0.0
"row_12",0.0
"row_13",0.0
"row_14",0.0
"row_15",0.0
"row_16",0.0
"row_17",0.0
"row_18",0.0
"row_19",0.0
"row_20",0.0
"row_21",0.0
"row_22",0.0
"row_23",0.0
"row_24",0.0
"row_25",0.0
"row_26",0.0
"row_27",0.0
"row_28",0.0
"row_29",0.0
"row_30",0.0
"row_31",0.0
"row_32",0.0
"row_33",0.0
"row_34",0.0
"row_35",0.0
"row_36",0.0
"row_37",0.0
"row_38",0.0
"row_39",0.0
"row_40",0.0
"row_41",0.0
"row_42",0.0
"row_43",0.0
"row_44",0.0
"row_45",0.0
"row_46",0.0
"row_47",0.0
"row_48",0.0
"row_49",0.0
"row_50",0.0
"row_51",0.0
"row_52",0.0
"row_53",0.0
"row_54",0.0
"row_55",0.0
"row_56",0.0
"row_57",0.0
"row_58",0.0
"row_59",0.0
"row_60",0.0
"row_61",0.0
"row_62",0.0
"row_63",0.0
"row_64",0.0
"row_65",0.0
"row_66",0.0
"row_67",0.0
"row_68",0.0
"row_69",0.0
"row_70",0.0
"row_71",0.0
"row_72",0.0
"row_73",0.0
"row_74",0.0
"row_75",0.0
"row_76",0.0
"row_77",0.0
"row_78",0.0
"row_79",0.0
"row_80",0.0
"row_81",0.0
"row_82",0.0
"row_83",0.0
"row_84",0.0
"row_85",0.0
"row_86",0.0
"row_87",0.0
"row_88",0.0
"row_89",0.0
"row_90",0.0
"row_91",0.0
"row_92",0.0
"row_93",0.0
"row_94",0.0
"row_95",0.0
"row_96",0.0
"row_97",0.0
"row_98",0.0
"row_99",0.0
"row_100",0.0
"row_101",0.0
"row_102",0.0
"row_103",0.0
"row_104",0.0
"row_105",0.0
"row_106",0.0
"row_107",0.0
"row_108",0.0
"row_109",0.0
"row_110",0.0
"row_111",0.0
"row_112",0.0
"row_113",0.0
"row_114",0.0
"row_115",0.0
"row_116",0.0
"row_117",0.0
"row_118",0.0
"row_119",0.0
"row_120",0.0
"row_121",0.0
"row_122",0.0
"row_123",0.0
"row_124",0.0
"row_125",0.0
"row_126",0.0
"row_127",0.0
"row_128",0.0
"row_129",0.0
"row_130",0.0
"row_131",0.0
"row_132",0.0
"row_133",0.0
"row_134",0.0
"row_135",0.0
"row_136",0.0
"row_137",0.0
"row_138",0.0
"row_139",0.0
"row_140",0.0
"row_141",0.0
"row_142",0.0
"row_143",0.0
"row_144",0.0
"row_145",0.0
"row_146",0.0
"row_147",0.0
"row_148",0.0
"row_149",0.0
"row_150",0.0
"row_151",0.0
"row_152",0.0
"row_153",0.0
"row_154",0.0
"row_155",0.0
"row_156",0.0
"row_157",0.0
"row_158",0.0
"row_159",0.0
"row_160",0.0
"row_161",0.0
"row_162",0.0
"row_163",0.0
"row_164",0.0
"row_165",0.0
"row_166",0.0
"row_167",0.0
"row_168",0.0
"row_169",0.0
"row_170",0.0
"row_171",0.0
"row_172",0.0
"row_173",0.0
"row_174",0.0
"row_175",0.0
"row_176",0.0
"row_177",0.0
"row_178",0.0
"row_179",0.0
"row_180",0.0
"row_181",0.0
"row_182",0.0
"row_183",0.0
"row_184",0.0
"row_185",0.0
"row_186",0.0
"row_187",0.0
"row_188",0.0
"row_189",0.0
"row_190",0.0
"row_191",0.0
"row_192",0.0
"row_193",0.0
"row_194",0.0
"row_195",0.0
"row_196",0.0
"row_197",0.0
"row_198",0.0
"row_199",0.0
"row_200",0.0
"row_201",0.0
"row_202",0.0
"row_203",0.0
"row_204",0.0
"row_205",0.0
"row_206",0.0
